timestamp,symbol,side,prediction,confidence,outcome
2025-08-07 03:15:07,BNBUSDT,short,1,0.9794023,pending
2025-08-07 03:18:41,BNBUSDT,short,1,0.9794379,pending
2025-08-07 03:27:11,BNBUSDT,short,1,0.9798164367675781,pending
2025-08-07 03:30:22,BNBUSDT,short,1,0.9810877442359924,pending
2025-08-07 03:51:20,BNBUSDT,short,1,0.9801416397094727,pending
2025-08-07 04:58:05,BNBUSDT,short,1,0.9906607866287231,pending
2025-08-07 18:32:35,ETHUSDT,long,1,0.898192286491394,pending
2025-08-07 18:32:50,LTCUSDT,long,1,0.9882407188415527,pending
2025-08-07 18:47:00,TRXUSDT,short,1,0.9786173701286316,pending
2025-08-07 19:45:36,SOLUSDT,long,0,0.47965487837791443,rejected
2025-08-07 19:45:42,DOGEUSDT,long,1,0.7622048854827881,pending
2025-08-07 20:05:34,TRXUSDT,short,1,0.989342451095581,pending
2025-08-07 20:05:39,ADAUSDT,long,1,0.9631304144859314,pending
2025-08-07 20:26:23,TRXUSDT,short,1,0.9871737360954285,pending
2025-08-07 21:15:50,BNBUSDT,long,1,0.9718281626701355,pending
2025-08-07 21:16:11,SOLUSDT,long,0,0.5253926515579224,rejected
2025-08-07 21:16:30,TRXUSDT,short,1,0.9737764596939087,pending
2025-08-07 21:17:59,AAVEUSDT,long,1,0.9861390590667725,pending
2025-08-07 21:18:40,TRUMPUSDT,long,0,0.43740522861480713,rejected
2025-08-07 21:25:53,BNBUSDT,long,1,0.972337007522583,pending
2025-08-07 21:26:24,TRXUSDT,short,1,0.9735668301582336,pending
2025-08-07 21:52:25,TONUSDT,short,1,0.9579130411148071,pending
2025-08-08 01:52:26,XRPUSDT,long,1,0.9913943409919739,pending
2025-08-08 01:52:31,BNBUSDT,long,1,0.9372872114181519,pending
2025-08-08 01:52:45,DOTUSDT,long,1,0.9638495445251465,pending
2025-08-08 02:11:14,XRPUSDT,long,1,0.9930770397186279,pending
2025-08-08 02:11:37,BNBUSDT,long,1,0.9717915654182434,pending
2025-08-08 02:32:25,TRXUSDT,long,0,0.2931201159954071,rejected
2025-08-08 02:32:28,DOGEUSDT,long,1,0.9927481412887573,pending
2025-08-08 19:58:03,XRPUSDT,long,0,0.6803703010082245,rejected
2025-08-08 19:58:06,TRXUSDT,short,1,0.9813367128372192,pending
2025-08-08 20:00:23,ADAUSDT,short,1,0.8244254887104034,pending
2025-08-08 20:00:32,TRUMPUSDT,long,0,0.3322679102420807,rejected
2025-08-08 20:51:30,DOTUSDT,long,0,0.32292841374874115,rejected
2025-08-08 21:00:15,ETCUSDT,long,1,0.9927332103252411,pending
2025-08-08 21:38:35,ADAUSDT,short,0,0.6992251574993134,rejected
2025-08-08 22:00:03,DOGEUSDT,long,0,0.6037593483924866,rejected
2025-08-08 22:06:42,ADAUSDT,short,0,0.5890506505966187,rejected
